[2019-08-07 09:37:11] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5E7NHxTSkIFc6Xms55-YGY4&mid=&merchid=&authkey=NTcyZGM1bk1ZL2hSVVptbHBVOVlrbVUrZW9nUmJTdEZNUVlxZTdQZUJxUGtSYmQybklQZzJOTVVZNGRPWDEwbGJzeGc3aW8v&timestamp=1565141831035 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-07 09:37:15] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=7&comefrom=wxapp&openid=sns_wa_oWJzS5E7NHxTSkIFc6Xms55-YGY4&mid=&merchid=&authkey=OGFmOWVLT3NpSTlHcGRTUDg5cUIyQ0JVZSs4SzVBM0l4dzJsUGRnYVl3U283RHJZZFRlWVM0T1VWZlJMMFIwbmhDQWtiOHRoWnJUT0FKandlRjIrSEVmRFFiUS9EVU10UWNjcXZSYW5ZeHpnOEE%3D&timestamp=1565141835845 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-07 09:37:16] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&id=7&comefrom=wxapp&openid=sns_wa_oWJzS5E7NHxTSkIFc6Xms55-YGY4&mid=&merchid=&authkey=OGFmOWVLT3NpSTlHcGRTUDg5cUIyQ0JVZSs4SzVBM0l4dzJsUGRnYVl3U283RHJZZFRlWVM0T1VWZlJMMFIwbmhDQWtiOHRoWnJUT0FKandlRjIrSEVmRFFiUS9EVU10UWNjcXZSYW5ZeHpnOEE%3D&timestamp=1565141835937 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-07 09:37:23] trace  /app/ewei_shopv2_api.php?i=2&r=yoxdiy.template_list&isajax=1&comefrom=wxapp&openid=sns_wa_oWJzS5E7NHxTSkIFc6Xms55-YGY4&mid=&merchid=&authkey=&timestamp=1565141843141 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-07 09:37:28] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&id=7&comefrom=wxapp&openid=sns_wa_oWJzS5E7NHxTSkIFc6Xms55-YGY4&mid=&merchid=&authkey=&timestamp=1565141847964 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-07 09:37:29] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5E7NHxTSkIFc6Xms55-YGY4&mid=&merchid=&authkey=&timestamp=1565141849885 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-07 09:37:30] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5E7NHxTSkIFc6Xms55-YGY4&mid=&merchid=&authkey=&timestamp=1565141849895 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-07 09:37:30] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5E7NHxTSkIFc6Xms55-YGY4&mid=&merchid=&authkey=&timestamp=1565141849903 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-07 09:37:36] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5E7NHxTSkIFc6Xms55-YGY4&mid=&merchid=&authkey=&timestamp=1565141856255 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-07 09:37:36] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=goodsdetail&comefrom=wxapp&openid=sns_wa_oWJzS5E7NHxTSkIFc6Xms55-YGY4&mid=&merchid=&authkey=&timestamp=1565141856277 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-07 09:37:38] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_detail&id=23&comefrom=wxapp&openid=sns_wa_oWJzS5E7NHxTSkIFc6Xms55-YGY4&mid=&merchid=&authkey=ZjJiMk5hdkQ1NVdiRit2RExwN1hld0FHaUVKangrYmJmdHl4SzR0dm1UY0o1cmc3MVpvV0M5a0ZVbjZTSjlNZE40bmE5SlpHQ3BtWk03aHFmQldoYkUyYU9QVHhwY0hLdjVtUnQza2wzRVFXdlE%3D&timestamp=1565141858079 yoxwechatbusinessModel::set_user:BEGIN
